timestamp,timestamp,kepler_container_energy_joules,layer,unit,treatment
2026-01-15 14:13:53.230000019+00:00,1768486433.23,0.0,pod,joules,NoTreatment
2026-01-15 14:14:23.230000019+00:00,1768486463.23,4.3312698,pod,joules,Treatment
2026-01-15 14:14:53.230000019+00:00,1768486493.23,268.79847213,pod,joules,Treatment
2026-01-15 14:15:23.230000019+00:00,1768486523.23,625.3327528792208,pod,joules,Treatment
2026-01-15 14:15:53.230000019+00:00,1768486553.23,564.9934434182353,pod,joules,Treatment
2026-01-15 14:16:23.230000019+00:00,1768486583.23,550.9011508333333,pod,joules,Treatment
2026-01-15 14:16:53.230000019+00:00,1768486613.23,543.5902290288793,pod,joules,Treatment
2026-01-15 14:17:23.230000019+00:00,1768486643.23,539.1006270984963,pod,joules,Treatment
2026-01-15 14:17:53.230000019+00:00,1768486673.23,536.0593326630081,pod,joules,Treatment
2026-01-15 14:18:23.230000019+00:00,1768486703.23,533.8614529953435,pod,joules,Treatment
2026-01-15 14:18:53.230000019+00:00,1768486733.23,532.1982840840633,pod,joules,Treatment
2026-01-15 14:19:23.230000019+00:00,1768486763.23,528.2613150054615,pod,joules,Treatment
2026-01-15 14:19:53.230000019+00:00,1768486793.23,210.52372881355933,pod,joules,Treatment
2026-01-15 14:20:23.230000019+00:00,1768486823.23,0.0,pod,joules,Treatment
2026-01-15 14:20:53.230000019+00:00,1768486853.23,0.0,pod,joules,Treatment
2026-01-15 14:21:23.230000019+00:00,1768486883.23,0.0,pod,joules,Treatment
2026-01-15 14:21:53.230000019+00:00,1768486913.23,0.0,pod,joules,Treatment
2026-01-15 14:22:23.230000019+00:00,1768486943.23,0.0,pod,joules,Treatment
2026-01-15 14:22:53.230000019+00:00,1768486973.23,0.0,pod,joules,Treatment
2026-01-15 14:23:23.230000019+00:00,1768487003.23,0.0,pod,joules,Treatment
2026-01-15 14:23:53.230000019+00:00,1768487033.23,0.0,pod,joules,Treatment
2026-01-15 14:24:23.230000019+00:00,1768487063.23,0.0,pod,joules,Treatment
2026-01-15 14:24:53.230000019+00:00,1768487093.23,0.0,pod,joules,Treatment
2026-01-15 14:25:23.230000019+00:00,1768487123.23,0.0,pod,joules,Treatment
2026-01-15 14:25:53.230000019+00:00,1768487153.23,0.0,pod,joules,Treatment
2026-01-15 14:26:23.230000019+00:00,1768487183.23,0.0,pod,joules,Treatment
2026-01-15 14:26:53.230000019+00:00,1768487213.23,0.0,pod,joules,Treatment
2026-01-15 14:27:23.230000019+00:00,1768487243.23,0.0,pod,joules,Treatment
2026-01-15 14:27:53.230000019+00:00,1768487273.23,0.0,pod,joules,Treatment
2026-01-15 14:28:23.230000019+00:00,1768487303.23,0.0,pod,joules,Treatment
2026-01-15 14:28:53.230000019+00:00,1768487333.23,0.0,pod,joules,Treatment
2026-01-15 14:29:23.230000019+00:00,1768487363.23,0.0,pod,joules,Treatment
2026-01-15 14:29:53.230000019+00:00,1768487393.23,0.0,pod,joules,Treatment
2026-01-15 14:30:23.230000019+00:00,1768487423.23,0.0,pod,joules,Treatment
2026-01-15 14:30:53.230000019+00:00,1768487453.23,0.0,pod,joules,Treatment
2026-01-15 14:31:23.230000019+00:00,1768487483.23,0.0,pod,joules,Treatment
2026-01-15 14:31:53.230000019+00:00,1768487513.23,20.174825400000003,pod,joules,Treatment
2026-01-15 14:32:23.230000019+00:00,1768487543.23,465.4289865142858,pod,joules,Treatment
2026-01-15 14:32:53.230000019+00:00,1768487573.23,354.21560279807693,pod,joules,Treatment
2026-01-15 14:33:23.230000019+00:00,1768487603.23,333.8945474506266,pod,joules,Treatment
2026-01-15 14:33:53.230000019+00:00,1768487633.23,591.027521431,pod,joules,Treatment
2026-01-15 14:34:23.230000019+00:00,1768487663.23,779.0287905794788,pod,joules,Treatment
2026-01-15 14:34:53.230000019+00:00,1768487693.23,735.5067634456193,pod,joules,Treatment
2026-01-15 14:35:23.230000019+00:00,1768487723.23,721.9364099952015,pod,joules,Treatment
2026-01-15 14:35:53.230000019+00:00,1768487753.23,714.8498266405147,pod,joules,Treatment
2026-01-15 14:36:23.230000019+00:00,1768487783.23,710.3860394746613,pod,joules,Treatment
2026-01-15 14:36:53.230000019+00:00,1768487813.23,649.7893630264285,pod,joules,Treatment
2026-01-15 14:37:23.230000019+00:00,1768487843.23,392.9704801636956,pod,joules,Treatment
2026-01-15 14:37:53.230000019+00:00,1768487873.23,391.7717109622073,pod,joules,Treatment
