timestamp,pod_name,timestamp,kepler_pod_cpu_energy_joules,layer,unit,treatment
2026-01-20 22:04:56.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946726.486,0.06421963636364547,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946756.486,0.25804690909092376,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946786.486,0.0,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946696.486,0.04872218181818348,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946726.486,0.04872218181818348,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946756.486,0.06029890909090502,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946786.486,0.09988799999999609,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946726.486,0.0,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946756.486,0.19382727272727032,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946786.486,0.0,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-birthday-6744559788-hh27v,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-birthday-6744559788-hh27v,1768946726.486,0.5382829090909105,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-birthday-6744559788-hh27v,1768946756.486,0.5382829090909105,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-birthday-6744559788-hh27v,1768946786.486,0.03958909090908696,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946726.486,0.847243636363637,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946756.486,1.4976556363636422,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946786.486,0.6504120000000053,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946726.486,0.5085414545454512,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946756.486,0.5085414545454512,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946786.486,0.0,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,load-data-8fb4988b7-w25kt,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,load-data-8fb4988b7-w25kt,1768946726.486,0.19137272727272767,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,load-data-8fb4988b7-w25kt,1768946756.486,0.19137272727272767,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,load-data-8fb4988b7-w25kt,1768946786.486,0.0,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946726.486,46.84055345454544,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946756.486,83.86187454545455,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946786.486,0.07244290909091558,pod,joules,Treatment
2026-01-20 22:04:56.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946696.486,0.0,pod,joules,NoTreatment
2026-01-20 22:05:26.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946726.486,6.656925818181802,pod,joules,Treatment
2026-01-20 22:05:56.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946756.486,6.717224727272722,pod,joules,Treatment
2026-01-20 22:06:26.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946786.486,0.09988800000001159,pod,joules,Treatment
